sweep,sr,beta1,lambda,rank,psnr,ssim,paper_target_rank
beta1,0.5,0.0001,0.1,30,21.341865886961358,0.7364844485827864,
beta1,0.5,0.0005,0.1,30,21.35127809495129,0.7369237189568002,
beta1,0.5,0.001,0.1,30,21.362998890064304,0.7374704092526528,
beta1,0.5,0.005,0.1,30,21.45509424869801,0.7417628360755537,
beta1,0.5,0.01,0.1,30,21.56582934869043,0.746898465569894,
beta1,0.5,0.05,0.1,30,22.284220148012608,0.7794759010633229,
beta1,0.5,0.1,0.1,30,22.846833388343214,0.803966459295497,
beta1,0.5,0.5,0.1,30,23.520859355789856,0.8326400582206709,
lambda,0.5,0.0001,0.01,30,9.702397332595938,0.3042238427266127,
lambda,0.5,0.0001,0.03,30,12.521915817362139,0.4018083799398677,
lambda,0.5,0.0001,0.05,30,15.538175609376317,0.5129753322471938,
lambda,0.5,0.0001,0.07,30,18.51298877243074,0.6238645104644364,
lambda,0.5,0.0001,0.1,30,21.341865886961358,0.7364844485827864,
lambda,0.5,0.0001,0.3,30,19.745408204357403,0.691886942214559,
lambda,0.5,0.0001,0.5,30,18.186833509802426,0.6132605878162375,
lambda,0.5,0.0001,0.7,30,17.241781149058603,0.5622827032196137,
lambda,0.5,0.0001,1.0,30,16.273308036088476,0.5111030881114789,
rank,0.5,0.0001,0.07,10,18.515178355250647,0.6239573422879127,40.0
rank,0.5,0.0001,0.07,20,18.514092448963503,0.6239132636067249,40.0
rank,0.5,0.0001,0.07,30,18.51298877243074,0.6238645104644364,40.0
rank,0.5,0.0001,0.07,40,18.512086956144216,0.6238253010894801,40.0
rank,0.5,0.0001,0.07,50,18.51136161443978,0.6237934451271214,40.0
rank,0.5,0.0001,0.07,60,18.510786294535315,0.6237681272586921,40.0
rank,0.5,0.0001,0.07,70,18.510356741478294,0.6237489034731968,40.0
rank,0.5,0.0001,0.07,80,18.510065106952606,0.6237356562053061,40.0
rank,0.5,0.0001,0.07,90,18.509913914632374,0.6237286375933283,40.0
beta1,0.3,0.0001,0.1,30,13.72325582954996,0.3795200563074506,
beta1,0.3,0.0005,0.1,30,13.73068785369431,0.3799354871349155,
beta1,0.3,0.001,0.1,30,13.739970457005718,0.3804543337773046,
beta1,0.3,0.005,0.1,30,13.813847301557708,0.384583035609761,
beta1,0.3,0.01,0.1,30,13.905039466527388,0.3896790398359904,
beta1,0.3,0.05,0.1,30,14.584091530212495,0.4271571790885514,
beta1,0.3,0.1,0.1,30,15.284609716705116,0.46381146561423453,
beta1,0.3,0.5,0.1,30,17.218970438434777,0.5499813384875322,
lambda,0.3,0.0001,0.01,30,7.628782976094085,0.16780673226781864,
lambda,0.3,0.0001,0.03,30,9.070389601744084,0.2099068270536837,
lambda,0.3,0.0001,0.05,30,10.43723787869187,0.25579562455611055,
lambda,0.3,0.0001,0.07,30,11.79250752094337,0.30491866538041407,
lambda,0.3,0.0001,0.1,30,13.72325582954996,0.3795200563074506,
lambda,0.3,0.0001,0.3,30,16.27223119999979,0.47813795032333034,
lambda,0.3,0.0001,0.5,30,14.935367528604369,0.39837341637842316,
lambda,0.3,0.0001,0.7,30,14.10651744995185,0.3514047290941502,
lambda,0.3,0.0001,1.0,30,13.510596869229772,0.32033652516617844,
rank,0.3,0.0001,0.07,10,11.79363256687462,0.3049734610844956,30.0
rank,0.3,0.0001,0.07,20,11.793024961744148,0.30494482122084815,30.0
rank,0.3,0.0001,0.07,30,11.79250752094337,0.30491866538041407,30.0
rank,0.3,0.0001,0.07,40,11.792070076709978,0.3048949206666916,30.0
rank,0.3,0.0001,0.07,50,11.791722324615726,0.3048753506993364,30.0
rank,0.3,0.0001,0.07,60,11.791452654671579,0.3048592418155665,30.0
rank,0.3,0.0001,0.07,70,11.791257456582185,0.3048479531375432,30.0
rank,0.3,0.0001,0.07,80,11.791128134887035,0.30484089945326587,30.0
rank,0.3,0.0001,0.07,90,11.79106274851116,0.30483762933434316,30.0
beta1,0.1,0.0001,0.1,30,8.381844368161108,0.0912704563492438,
beta1,0.1,0.0005,0.1,30,8.384535908379757,0.09138759000653711,
beta1,0.1,0.001,0.1,30,8.387898334673764,0.09153394059004934,
beta1,0.1,0.005,0.1,30,8.414708747023509,0.09270857318575511,
beta1,0.1,0.01,0.1,30,8.448087679028701,0.09419776151604453,
beta1,0.1,0.05,0.1,30,8.693123847117203,0.10545816781377997,
beta1,0.1,0.1,0.1,30,8.936122215802087,0.11624710912103199,
beta1,0.1,0.5,0.1,30,9.580399305481084,0.14022246269738944,
lambda,0.1,0.0001,0.01,30,6.233798739850873,0.058364124616132336,
lambda,0.1,0.0001,0.03,30,6.841880139287171,0.0639724335785636,
lambda,0.1,0.0001,0.05,30,7.324972607097905,0.07125151121965932,
lambda,0.1,0.0001,0.07,30,7.76516673168929,0.07849360106285976,
lambda,0.1,0.0001,0.1,30,8.381844368161108,0.0912704563492438,
lambda,0.1,0.0001,0.3,30,10.678235382714668,0.1459486839364904,
lambda,0.1,0.0001,0.5,30,10.457450957954515,0.1374950876880893,
lambda,0.1,0.0001,0.7,30,9.996932003041964,0.12842485726703798,
lambda,0.1,0.0001,1.0,30,9.443697351422372,0.12132754945864992,
rank,0.1,0.0001,0.07,10,7.7655397531407155,0.07850638978026796,30.0
rank,0.1,0.0001,0.07,20,7.765336682195531,0.07850021194551048,30.0
rank,0.1,0.0001,0.07,30,7.76516673168929,0.07849360106285976,30.0
rank,0.1,0.0001,0.07,40,7.765027756109838,0.0784874281458068,30.0
rank,0.1,0.0001,0.07,50,7.764913383073533,0.07848264224477024,30.0
rank,0.1,0.0001,0.07,60,7.7648260255446955,0.078479492765474,30.0
rank,0.1,0.0001,0.07,70,7.764759353277203,0.0784759007266747,30.0
rank,0.1,0.0001,0.07,80,7.7647116566584495,0.07847227645516365,30.0
rank,0.1,0.0001,0.07,90,7.7646858576581925,0.07847007492864412,30.0
