alpha,eps,max_iter,rank,seed,psnr_alg1,psnr_alg2,mssi_alg1,mssi_alg2,psnr_gain_alg2_vs_alg1,mssi_gain_alg2_vs_alg1
0.005,0.001,80,4,21,17.7736,22.6517,0.5881,0.8113,4.8781,0.2232
0.005,0.001,80,4,22,18.0488,24.8803,0.5155,0.8357,6.8314,0.3202
0.005,0.001,80,6,21,17.7542,22.7177,0.5873,0.8145,4.9635,0.2271
0.005,0.001,80,6,22,18.0411,24.8897,0.5145,0.8364,6.8486,0.3219
0.005,0.001,120,4,21,18.8017,22.9047,0.6436,0.8223,4.1030,0.1787
0.005,0.001,120,4,22,19.2078,25.0405,0.5822,0.8418,5.8327,0.2597
0.005,0.001,120,6,21,18.7552,23.1948,0.6421,0.8345,4.4396,0.1924
0.005,0.001,120,6,22,19.1597,25.1624,0.5792,0.8467,6.0027,0.2675
0.005,0.0001,80,4,21,17.7736,22.6517,0.5881,0.8113,4.8781,0.2232
0.005,0.0001,80,4,22,18.0488,24.8803,0.5155,0.8357,6.8314,0.3202
0.005,0.0001,80,6,21,17.7542,22.7177,0.5873,0.8145,4.9635,0.2271
0.005,0.0001,80,6,22,18.0411,24.8897,0.5145,0.8364,6.8486,0.3219
0.005,0.0001,120,4,21,18.8017,22.9047,0.6436,0.8223,4.1030,0.1787
0.005,0.0001,120,4,22,19.2078,25.0405,0.5822,0.8418,5.8327,0.2597
0.005,0.0001,120,6,21,18.7552,23.1948,0.6421,0.8345,4.4396,0.1924
0.005,0.0001,120,6,22,19.1597,25.1624,0.5792,0.8467,6.0027,0.2675
0.01,0.001,80,4,21,19.6949,23.5310,0.6897,0.8472,3.8361,0.1575
0.01,0.001,80,4,22,20.2440,25.4616,0.6396,0.8570,5.2176,0.2174
0.01,0.001,80,6,21,19.6248,24.0771,0.6882,0.8665,4.4523,0.1783
0.01,0.001,80,6,22,20.1420,25.7795,0.6344,0.8679,5.6375,0.2335
0.01,0.001,120,4,21,21.1743,25.4420,0.7611,0.9048,4.2677,0.1438
0.01,0.001,120,4,22,21.9187,27.0437,0.7263,0.9030,5.1250,0.1767
0.01,0.001,120,6,21,21.0725,26.1232,0.7598,0.9193,5.0507,0.1595
0.01,0.001,120,6,22,21.7135,27.6948,0.7180,0.9174,5.9814,0.1993
0.01,0.0001,80,4,21,19.6949,23.5310,0.6897,0.8472,3.8361,0.1575
0.01,0.0001,80,4,22,20.2440,25.4616,0.6396,0.8570,5.2176,0.2174
0.01,0.0001,80,6,21,19.6248,24.0771,0.6882,0.8665,4.4523,0.1783
0.01,0.0001,80,6,22,20.1420,25.7795,0.6344,0.8679,5.6375,0.2335
0.01,0.0001,120,4,21,21.1743,25.4420,0.7611,0.9048,4.2677,0.1438
0.01,0.0001,120,4,22,21.9187,27.0437,0.7263,0.9030,5.1250,0.1767
0.01,0.0001,120,6,21,21.0725,26.1232,0.7598,0.9193,5.0507,0.1595
0.01,0.0001,120,6,22,21.7135,27.6948,0.7180,0.9174,5.9814,0.1993
0.015,0.001,80,4,21,21.1853,25.4328,0.7615,0.9046,4.2475,0.1431
0.015,0.001,80,4,22,21.9412,27.0507,0.7273,0.9032,5.1095,0.1760
0.015,0.001,80,6,21,21.0878,26.1598,0.7605,0.9200,5.0720,0.1595
0.015,0.001,80,6,22,21.7356,27.6851,0.7190,0.9172,5.9495,0.1982
0.015,0.001,120,4,21,22.9976,27.1613,0.8349,0.9378,4.1638,0.1029
0.015,0.001,120,4,22,23.9589,29.0655,0.8149,0.9412,5.1066,0.1263
0.015,0.001,120,6,21,22.8873,28.5579,0.8341,0.9553,5.6706,0.1211
0.015,0.001,120,6,22,23.6119,30.3397,0.8041,0.9563,6.7278,0.1522
0.015,0.0001,80,4,21,21.1853,25.4328,0.7615,0.9046,4.2475,0.1431
0.015,0.0001,80,4,22,21.9412,27.0507,0.7273,0.9032,5.1095,0.1760
0.015,0.0001,80,6,21,21.0878,26.1598,0.7605,0.9200,5.0720,0.1595
0.015,0.0001,80,6,22,21.7356,27.6851,0.7190,0.9172,5.9495,0.1982
0.015,0.0001,120,4,21,22.9976,27.1613,0.8349,0.9378,4.1638,0.1029
0.015,0.0001,120,4,22,23.9589,29.0655,0.8149,0.9412,5.1066,0.1263
0.015,0.0001,120,6,21,22.8873,28.5579,0.8341,0.9553,5.6706,0.1211
0.015,0.0001,120,6,22,23.6119,30.3397,0.8041,0.9563,6.7278,0.1522
